"","eruptionID","geyser","eruption_time_epoch","has_seconds","exact","ns","ie","E","A","wc","ini","maj","min","q","duration","entrant","observer","eruption_comment","time_updated","time_entered","associated_primaryID","other_comments","Old_Faithful_Preplay_Time_VEC","Old_Faithful_Height_VEC"
"59","23552","Old Faithful","11109540",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335219103,1335219103,23552,"NULL","NULL","NULL"
"60","23651","Old Faithful","11114040",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335328642,1335328642,23651,"NULL","NULL","NULL"
"61","23652","Old Faithful","11118300",0,"1","0","0",0,0,0,0,0,1,0,"4.25m","BoekelUpload","OFVCL-EV","",1335328642,1335328642,23652,"NULL","NULL","NULL"
"62","23653","Old Faithful","11120940",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335328642,1335328642,23653,"NULL","NULL","NULL"
"63","23654","Old Faithful","11125200",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335328642,1335328642,23654,"NULL","NULL","NULL"
"64","23655","Old Faithful","11128200",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335328642,1335328642,23655,"NULL","NULL","NULL"
"65","23656","Old Faithful","11132580",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335328642,1335328642,23656,"NULL","NULL","NULL"
"66","23657","Old Faithful","11136900",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335328642,1335328642,23657,"NULL","NULL","NULL"
"67","23553","Old Faithful","11139840",0,"1","0","0",0,0,0,0,1,0,0,"5min","BoekelUpload","OFVCL-EV","",1335219486,1335219486,23553,"NULL","NULL","NULL"
"68","23659","Old Faithful","11196600",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23659,"NULL","NULL","NULL"
"69","23660","Old Faithful","11201220",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23660,"NULL","NULL","NULL"
"70","23661","Old Faithful","11204460",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23661,"NULL","NULL","NULL"
